2026-07-29 17:16:14,688 INFO corporate_actions: 4064 candidate securities (gaps). NOTE: gap selection is high-coverage, not complete — small actions fall below the threshold; run `verify` afterwards.
2026-07-29 17:16:50,856 ERROR yfinance: $AFI: possibly delisted; no timezone found
2026-07-29 17:16:52,086 ERROR yfinance: $AFTR.WS: possibly delisted; no timezone found
2026-07-29 17:16:52,406 ERROR yfinance: $AGAC.WS: possibly delisted; no timezone found
2026-07-29 17:16:52,685 ERROR yfinance: $AGBA: possibly delisted; no timezone found
2026-07-29 17:16:52,988 ERROR yfinance: $AGBAR: possibly delisted; no timezone found
2026-07-29 17:16:53,316 ERROR yfinance: $AGBAW: possibly delisted; no timezone found
2026-07-29 17:16:53,686 ERROR yfinance: $AGCWW: possibly delisted; no timezone found
2026-07-29 17:16:53,972 ERROR yfinance: $AGE: possibly delisted; no timezone found
2026-07-29 17:16:54,301 ERROR yfinance: $AGFS: possibly delisted; no timezone found
2026-07-29 17:16:54,674 ERROR yfinance: $AGFY: possibly delisted; no timezone found
2026-07-29 17:16:54,984 ERROR yfinance: $AGGRW: possibly delisted; no timezone found
2026-07-29 17:16:55,296 ERROR yfinance: $AGIL: possibly delisted; no timezone found
2026-07-29 17:16:55,551 ERROR yfinance: $AGILW: possibly delisted; no price data found  (1d 1927-08-23 -> 2026-07-29)
2026-07-29 17:16:55,931 ERROR yfinance: $AGLE: possibly delisted; no timezone found
2026-07-29 17:16:56,755 ERROR yfinance: $AGRI: possibly delisted; no timezone found
2026-07-29 17:16:57,030 ERROR yfinance: AGRIW: Period 'max' is invalid, must be one of: 1d, 5d
2026-07-29 17:16:57,381 ERROR yfinance: $AGRX: possibly delisted; no timezone found
2026-07-29 17:16:57,717 ERROR yfinance: $AGTC: possibly delisted; no timezone found
2026-07-29 17:16:58,003 ERROR yfinance: $AHACW: possibly delisted; no timezone found
2026-07-29 17:16:58,337 ERROR yfinance: $AHC: possibly delisted; no timezone found
2026-07-29 17:16:59,036 ERROR yfinance: $AHI: possibly delisted; no timezone found
2026-07-29 17:16:59,379 ERROR yfinance: $AHPAW: possibly delisted; no timezone found
2026-07-29 17:16:59,640 ERROR yfinance: $AHPI: possibly delisted; no timezone found
2026-07-29 17:16:59,921 ERROR yfinance: $AHRNW: possibly delisted; no timezone found
2026-07-29 17:17:00,820 ERROR yfinance: $AHTPD: possibly delisted; no timezone found
2026-07-29 17:17:01,172 ERROR yfinance: $AHTPF: possibly delisted; no timezone found
2026-07-29 17:17:01,666 ERROR yfinance: $AHTPG: possibly delisted; no timezone found
2026-07-29 17:17:01,971 ERROR yfinance: $AHTPH: possibly delisted; no timezone found
2026-07-29 17:17:02,376 ERROR yfinance: $AHTPI: possibly delisted; no timezone found
2026-07-29 17:17:03,060 ERROR yfinance: $AIBBR: possibly delisted; no timezone found
2026-07-29 17:17:03,394 ERROR yfinance: $AIG.WS: possibly delisted; no timezone found
2026-07-29 17:17:03,880 ERROR yfinance: $AIH: possibly delisted; no timezone found
2026-07-29 17:17:04,571 ERROR yfinance: $AIKI: possibly delisted; no timezone found
2026-07-29 17:17:05,145 ERROR yfinance: $AIMAW: possibly delisted; no timezone found
2026-07-29 17:17:05,504 ERROR yfinance: $AIMC: possibly delisted; no timezone found
2026-07-29 17:17:06,450 ERROR yfinance: $AINC: possibly delisted; no timezone found
2026-07-29 17:17:08,538 ERROR yfinance: $AIRTW: possibly delisted; no timezone found
2026-07-29 17:17:09,878 ERROR yfinance: $AJAX.WS: possibly delisted; no timezone found
2026-07-29 17:17:11,236 ERROR yfinance: $AKICW: possibly delisted; no timezone found
2026-07-29 17:17:12,448 ERROR yfinance: $AKRO: possibly delisted; no timezone found
2026-07-29 17:17:13,073 ERROR yfinance: $AKU: possibly delisted; no timezone found
2026-07-29 17:17:13,377 ERROR yfinance: $AKUS: possibly delisted; no timezone found
2026-07-29 17:17:13,728 ERROR yfinance: $ALACR: possibly delisted; no timezone found
2026-07-29 17:17:14,062 ERROR yfinance: $ALACU: possibly delisted; no timezone found
2026-07-29 17:17:14,431 ERROR yfinance: $ALACW: possibly delisted; no timezone found
2026-07-29 17:17:14,791 ERROR yfinance: $ALBO: possibly delisted; no timezone found
2026-07-29 17:17:15,946 ERROR yfinance: $ALFIW: possibly delisted; no timezone found
2026-07-29 17:17:17,033 ERROR yfinance: $ALINPA: possibly delisted; no timezone found
2026-07-29 17:17:17,370 ERROR yfinance: $ALINPB: possibly delisted; no timezone found
2026-07-29 17:17:17,670 ERROR yfinance: $ALINPE: possibly delisted; no timezone found
2026-07-29 17:17:18,005 ERROR yfinance: $ALJJ: possibly delisted; no timezone found
